Timestamp,Participant ID,Condition ID ,Dataset ID,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?"
8/30/2022 5:12:18,P4,PC PC,D1,6,2,5,6,6,4
8/30/2022 5:12:46,P3,PC PC,D1,4,1,4,7,4,2
8/30/2022 5:59:12,P4,VR VR,D2,7,6,2,2,6,6
8/30/2022 5:59:16,P3,VR VR,D2,6,6,6,4,6,6
8/30/2022 6:25:35,P4,PC VR,D3,2,2,2,7,2,2
8/30/2022 6:26:25,P3,PC VR,D3,1,5,1,6,4,1
8/30/2022 9:14:22,P6,VR VR,D1,5,5,4,6,5,5
8/30/2022 9:15:23,P5,VR VR,D1,3,5,5,6,5,2
8/30/2022 9:57:53,P6,PC PC,D2,4,3,3,6,4,2
8/30/2022 9:58:12,P5,PC PC,D2,2,2,3,5,5,1
8/30/2022 10:31:43,P6,PC VR,D3,5,5,3,5,6,3
8/30/2022 10:31:46,P5,PC VR,D3,2,2,4,4,5,5
8/31/2022 5:00:08,p8,VR VR,D1,5,5,5,6,7,6
8/31/2022 5:00:34,P7,VR VR,D1,7,6,2,7,5,3
8/31/2022 5:34:34,P7,PC VR,D2,5,4,1,7,5,2
8/31/2022 5:34:41,p8,PC VR,D2,6,2,4,7,3,1
8/31/2022 6:03:22,p8,PC PC,D3,7,2,4,5,6,1
8/31/2022 6:03:51,P7,PC PC,D3,6,2,1,5,4,1
8/31/2022 8:55:37,P9,PC VR,D1,3,4,5,7,3,4
8/31/2022 8:55:56,P10,PC VR,D1,3,5,5,6,4,3
8/31/2022 9:21:32,P10,VR VR,D2,5,5,4,5,4,3
8/31/2022 9:21:37,P9,VR VR,D2,7,7,3,5,6,6
8/31/2022 9:39:05,P9,PC PC,D3,4,4,5,6,3,2
8/31/2022 9:39:12,P10,PC PC,D3,5,1,5,6,3,2
9/1/2022 18:22:00,P13,PC PC,D1,1,1,2,6,6,1
9/1/2022 18:22:17,P14,PC PC,D1,5,1,3,4,6,5
9/1/2022 18:53:57,P13,PC VR,D2,2,2,2,6,2,2
9/1/2022 18:54:09,P14,PC VR,D2,5,1,2,5,6,3
9/1/2022 19:23:41,P13,VR VR,D3,2,2,2,5,2,2
9/1/2022 19:24:14,P14,VR VR,D3,7,6,3,5,5,5
9/3/2022 11:14:47,P15,PC PC,D1,1,1,4,6,3,4
9/3/2022 11:17:37,P16,PC PC,D1,7,2,4,7,5,1
9/3/2022 11:45:57,P15,VR VR,D2,2,3,2,6,4,3
9/3/2022 11:46:13,P16,VR VR,D2,7,2,5,6,6,1
9/3/2022 12:08:53,P16,PC VR,D3,7,3,4,6,6,1
9/3/2022 14:25:11,P15,PC VR,D3,1,1,2,6,1,1
9/6/2022 13:27:47,P18,VR VR,D1,4,5,4,6,5,5
9/6/2022 13:28:20,P17,VR VR,D1,6,2,3,7,2,1
9/6/2022 13:47:50,P18,PC PC,D2,6,2,4,6,7,5
9/6/2022 13:47:56,P17,PC PC,D2,7,1,3,6,3,1
9/6/2022 14:06:41,P17,PC VR,D3,5,1,2,7,2,1
9/6/2022 14:06:59,P18,PC VR,D3,2,4,4,7,5,4
9/7/2022 20:02:14,p21,PC VR,D1,4,2,2,6,2,2
9/7/2022 20:03:53,p22,PC VR,D1,7,4,3,7,6,7
9/7/2022 20:32:46,p21,VR VR,D2,5,6,3,6,5,2
9/7/2022 20:33:31,p22,VR VR,D2,7,4,3,7,7,5
9/7/2022 20:52:31,p22,PC PC,D3,6,6,7,6,3,2
9/7/2022 20:52:33,p21,PC PC,D3,2,2,2,6,2,1
9/8/2022 13:15:11,P23,PC VR,D1,1,1,1,7,1,1
9/8/2022 13:15:47,P24,PC VR,D1,3,2,5,7,3,1
9/8/2022 13:33:29,P23,PC PC,D2,1,1,1,7,1,1
9/8/2022 13:33:42,P24,PC PC,D2,2,1,3,7,2,1
9/8/2022 13:54:39,P23,VR VR,D3,1,1,1,7,1,1
9/8/2022 13:55:07,P24,VR VR,D3,4,1,4,5,4,1
9/8/2022 20:25:20,P11,PC VR,D1,1,1,1,7,1,1
9/8/2022 20:26:03,p12,PC VR,D1,3,5,5,7,5,4
9/8/2022 20:42:52,P11,PC PC,D2,4,1,1,4,5,1
9/8/2022 20:43:21,p12,PC PC,D2,4,1,2,7,2,2
9/8/2022 20:57:25,P11,VR VR,D3,5,1,1,7,6,3
9/8/2022 20:57:36,p12,VR VR,D3,5,4,3,6,5,5
9/10/2022 3:59:45,P1,PC PC,D1,4,2,2,5,7,5
9/10/2022 4:00:29,P2,PC PC,D1,6,6,4,6,3,6
9/10/2022 4:36:30,P1,PC VR,D2,7,7,7,3,7,7
9/10/2022 4:36:45,P2,PC VR,D2,6,7,4,5,6,6
9/10/2022 5:14:22,P2,VR VR,D3,6,7,6,4,6,6
9/10/2022 5:15:03,P1,VR VR,D3,7,7,7,2,7,6
9/12/2022 20:08:51,P19,VR VR,D1,2,2,4,7,3,1
9/12/2022 20:09:35,P20,VR VR,D1,3,6,5,6,3,4
9/12/2022 20:37:52,P19,PC VR,D2,4,1,4,7,4,3
9/12/2022 20:38:26,P20,PC VR,D2,5,6,3,5,6,5
9/12/2022 20:59:47,P19,PC PC,D3,2,1,4,7,3,1
9/12/2022 21:00:39,P20,PC PC,D3,3,3,5,6,4,3