Timestamp,Participant ID,Condition ID ,Dataset ID,My actions were dependent on the other’s actions.,The other’s actions were dependent on my actions.,My behavior was in direct response to the other’s behavior.,The behavior of the other was direct response to my behavior.,What the other did affected what I did.,What I did affected what the other did. ,My partner did not help me very much. ,I did not help the other very much. ,My partner worked with me to complete the task. ,I worked with the other individual to complete the task. ,The other could not act without me. ,I could not act with the other. ,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",How confident are you in figuring out the story?,How many scores do you think you are going to get?,The collaboration was more beneficial to me than working alone for this task.,I was able to use the tool to identified the story through the collaboration.,"I was able to use the node-link diagram to figure out key entities (e.g., person, location, time, events) through the collaboration.",time spent,time spent(s),score,DH,RV,CO,SA,VF,QF
10/6/2022 17:17:33,P4,PC PC,D2,3,3,5,5,6,5,2,2,7,7,6,5,5,3,5,6,5,2,6,5,7,7,1,0:44:04,2644,6,30,8,3,2,22,3
10/6/2022 17:17:36,P3,PC PC,D2,5,5,5,5,5,5,2,2,6,6,5,5,5,2,5,5,6,2,5,4,6,7,5,0:44:04,2644,6,0,0,0,0,0,0
10/6/2022 18:11:17,P3,PC VR,D1,5,5,5,5,5,5,4,3,5,5,3,4,5,2,4,5,5,1,6,4,5,6,5,0:31:39,1899,6,24,12,2,0,17,5
10/6/2022 18:11:18,P4,PC VR,D1,3,3,5,5,6,6,1,4,6,5,3,6,3,5,4,3,6,3,5,4,7,6,5,0:31:39,1899,6,0,0,0,0,0,0
10/7/2022 10:10:50,P6,PC VR,D2,5,4,6,6,5,5,1,2,7,6,3,3,6,2,1,7,4,2,7,5,7,7,7,0:21:38,1298,6,26,1,0,0,0,0
10/7/2022 10:11:25,P5,PC VR,D2,6,6,6,6,6,6,1,1,7,7,3,5,5,1,3,7,4,1,7,6,7,6,5,0:21:38,1298,6,0,0,0,0,0,0
10/7/2022 10:50:27,P6,PC PC,D1,4,4,5,5,4,4,1,1,6,6,4,4,3,1,1,6,3,1,6,5,6,5,6,0:19:49,1189,6,29,1,0,1,0,1
10/7/2022 10:50:30,P5,PC PC,D1,6,6,6,6,6,6,2,2,7,7,2,2,5,1,3,7,4,1,7,5,6,6,7,0:19:49,1189,6,0,0,0,0,0,0
10/7/2022 13:15:53,P8,PC PC,D2,5,5,4,4,6,7,2,2,7,7,1,1,5,1,2,6,5,2,6,5,7,7,5,0:32:30,1950,6,51,3,0,0,6,2
10/7/2022 13:16:15,P7,PC PC,D2,3,3,3,3,6,5,2,3,7,7,1,1,4,1,1,6,4,1,6,5,5,5,4,0:32:30,1950,6,0,0,0,0,0,0
10/7/2022 14:00:40,P7,PC VR,D1,3,3,3,3,3,3,6,5,6,6,1,1,3,1,1,6,3,1,6,5,6,7,7,0:23:53,1433,6,12,4,0,0,5,3
10/7/2022 14:01:06,P8,PC VR,D1,3,3,3,2,6,3,4,4,5,5,2,4,5,3,1,6,4,4,7,6,6,6,5,0:23:53,1433,6,0,0,0,0,0,0
10/10/2022 2:46:53,P21,PC VR,D2,6,5,6,6,6,6,1,1,7,7,5,5,5,2,5,6,5,2,5,5,7,7,7,0:31:50,1910,6,14,0,3,1,15,1
10/10/2022 2:50:29,P22,PC VR,D2,5,6,3,2,5,6,5,5,3,5,1,2,5,1,5,5,6,5,5,4,6,7,6,0:31:50,1910,6,0,0,0,0,0,0
10/10/2022 3:35:26,P21,PC PC,D1,5,6,6,6,6,7,1,1,5,6,6,5,6,1,5,6,6,2,6,5,6,6,7,0:31:03,1863,6,13,2,2,2,18,1
10/10/2022 3:36:08,P22,PC PC,D1,2,5,5,2,3,5,2,1,6,5,2,1,5,1,5,2,6,5,2,4,6,5,3,0:31:03,1863,6,0,0,0,0,0,0
10/11/2022 10:31:03,P9,PC VR,D2,6,7,7,6,6,4,2,6,6,5,3,7,7,3,4,6,6,6,3,4,7,5,5,0:43:35,2615,5,13,7,8,3,5,0
10/11/2022 10:32:17,P10,PC VR,D2,3,2,2,2,1,2,2,2,7,6,2,2,5,5,5,6,6,3,5,4,2,4,6,0:43:35,2615,5,0,0,0,0,0,0
10/11/2022 11:21:03,P9,PC PC,D1,4,2,5,5,5,4,3,5,6,6,3,6,7,3,4,6,6,5,6,5,5,7,7,0:35:21,2121,5,14,4,5,0,5,3
10/11/2022 11:21:03,P10,PC PC,D1,4,4,4,4,3,3,4,2,4,5,2,4,5,5,5,4,4,4,6,4,5,6,6,0:35:21,2121,5,0,0,0,0,0,0
10/11/2022 13:01:41,P12,PC PC,D2,1,1,6,5,7,7,2,1,7,7,7,7,7,2,3,7,6,2,5,5,7,6,7,0:25:53,1553,6,8,5,1,2,17,0
10/11/2022 13:03:08,P11,PC PC,D2,2,1,6,6,5,3,1,2,7,1,2,2,5,5,1,6,3,2,6,5,7,5,6,0:25:53,1553,6,0,0,0,0,0,0
10/11/2022 13:59:48,P11,PC VR,D1,1,1,6,7,5,5,1,1,7,1,3,3,3,3,1,7,3,1,7,6,7,5,5,0:25:33,1533,6,17,1,1,1,23,0
10/11/2022 13:59:54,P12,PC VR,D1,7,6,7,7,7,7,7,7,7,7,5,2,6,4,3,7,6,4,7,6,7,6,7,0:25:33,1533,6,0,0,0,0,0,0
10/11/2022 19:40:12,P14,PC VR,D2,5,5,5,5,5,5,2,3,6,6,3,3,6,2,5,6,5,3,6,4,7,6,5,0:43:24,2604,6,25,1,8,0,0,0
10/11/2022 19:40:20,P13,PC VR,D2,5,3,5,4,6,6,1,1,7,7,4,4,5,2,5,6,3,2,6,5,5,5,5,0:43:24,2604,6,0,0,0,0,0,0
10/11/2022 20:27:59,P13,PC PC,D1,6,6,6,6,6,6,1,1,7,7,4,4,5,2,2,6,4,4,6,5,6,6,6,0:25:15,1515,5,16,0,4,0,0,0
10/11/2022 20:28:20,P14,PC PC,D1,5,5,6,6,6,6,2,2,6,6,3,3,5,3,5,6,6,3,6,4,5,5,5,0:25:15,1515,5,0,0,0,0,0,0
10/12/2022 10:30:48,P16,PC PC,D2,5,7,5,7,6,7,1,1,7,7,3,3,5,5,6,6,5,1,5,5,6,7,7,0:36:21,2181,6,3,0,3,0,0,1
10/12/2022 10:31:20,P15,PC PC,D2,2,4,2,3,4,3,2,6,5,4,2,7,7,5,7,2,7,7,4,2,7,4,3,0:36:21,2181,6,0,0,0,0,0,0
10/12/2022 11:26:24,P16,PC VR,D1,5,5,6,6,6,6,1,1,5,5,2,2,7,7,7,4,4,5,5,4,5,4,5,0:23:47,1427,4,2,0,2,0,0,1
10/12/2022 11:26:33,P15,PC VR,D1,6,5,6,5,6,6,2,3,6,5,5,4,5,3,5,6,5,6,5,5,4,4,5,0:23:47,1427,4,0,0,0,0,0,0
10/12/2022 19:37:57,P17,PC VR,D2,6,3,5,5,6,4,1,4,7,4,4,6,2,1,2,7,2,1,4,6,7,7,2,0:27:24,1644,6,20,0,3,0,5,3
10/12/2022 19:37:59,P18,PC VR,D2,3,3,5,5,2,2,2,1,2,7,7,1,6,3,4,7,7,3,6,5,1,7,6,0:27:24,1644,6,0,0,0,0,0,0
10/12/2022 20:13:40,P18,PC PC,D1,2,2,3,3,7,7,1,1,7,7,7,1,7,2,5,7,7,2,7,6,7,7,7,0:23:34,1414,5,13,0,2,0,2,4
10/12/2022 20:13:51,P17,PC PC,D1,5,6,5,5,4,6,2,3,5,5,5,5,2,1,1,7,2,2,7,6,6,6,3,0:23:34,1414,5,0,0,0,0,0,0
10/13/2022 16:01:46,P19,PC PC,D2,6,2,3,6,2,6,6,6,3,4,6,2,5,1,3,6,6,1,6,6,4,3,6,0:23:27,1407,5,9,1,3,0,0,1
10/13/2022 16:02:29,P20,PC PC,D2,6,2,6,4,5,4,1,6,7,4,2,7,4,4,4,4,4,5,6,5,5,5,6,0:23:27,1407,5,0,0,0,0,0,0
10/13/2022 17:02:06,P19,PC VR,D1,4,6,3,4,5,3,2,5,6,5,3,6,2,1,2,5,3,4,5,1,6,6,6,0:21:42,1302,3,7,0,1,0,2,5
10/13/2022 17:02:33,P20,PC VR,D1,2,5,3,5,4,4,3,3,5,3,6,3,5,5,6,5,5,5,5,5,6,5,6,0:21:42,1302,3,0,0,0,0,0,0